linenumber,timecode_in,timecode_out,text,season,episode,episode_name
22,00:01:44.163,00:01:46.216,this attic is amazing!,S01,E01,Tourist Trapped
23,00:01:46.217,00:01:49.174,check out all my splinters!,S01,E01,Tourist Trapped
24,00:01:49.175,00:01:50.212,baaa!,S01,E01,Tourist Trapped
25,00:01:50.213,00:01:52.187,and there's a goat on my bed.,S01,E01,Tourist Trapped
26,00:01:52.188,00:01:53.237,"hey, friend.",S01,E01,Tourist Trapped
27,00:01:53.238,00:01:58.216,"oh! yes, you can keep chewing on my sweater. ha ha ha ha ha!",S01,E01,Tourist Trapped
28,00:01:58.217,00:02:01.141,my sister tended to look on the bright side of things.,S01,E01,Tourist Trapped
29,00:02:01.142,00:02:03.179,yay! grass!,S01,E01,Tourist Trapped
30,00:02:03.180,00:02:05.159,but i was having a hard time,S01,E01,Tourist Trapped
31,00:02:05.160,00:02:07.159,getting used to our new surroundings.,S01,E01,Tourist Trapped
32,00:02:07.160,00:02:08.184,- boo! - aaaah!,S01,E01,Tourist Trapped
33,00:02:08.187,00:02:10.183,aha ha ha ha!,S01,E01,Tourist Trapped
34,00:02:10.184,00:02:12.208,and then was our great-uncle stan...,S01,E01,Tourist Trapped
35,00:02:12.209,00:02:14.145,that guy.,S01,E01,Tourist Trapped
36,00:02:14.146,00:02:15.199,aha ha ha ha...,S01,E01,Tourist Trapped
37,00:02:15.200,00:02:18.141,it was worth it.,S01,E01,Tourist Trapped
38,00:02:18.142,00:02:21.149,our uncle had transformed his house into a tourist trap,S01,E01,Tourist Trapped
39,00:02:21.150,00:02:22.238,he called the mystery shack.,S01,E01,Tourist Trapped
40,00:02:22.239,00:02:25.212,the real mystery was why anyone came.,S01,E01,Tourist Trapped
41,00:02:25.213,00:02:27.224,"ladies and gentlemen, behold...",S01,E01,Tourist Trapped
44,00:02:32.228,00:02:35.162,and guess who had to work there.,S01,E01,Tourist Trapped
45,00:02:35.163,00:02:36.208,oh!,S01,E01,Tourist Trapped
46,00:02:36.209,00:02:38.229,no touching the merchandise!,S01,E01,Tourist Trapped
47,00:02:38.230,00:02:41.183,it looked like it was gonna be the same boring routine,S01,E01,Tourist Trapped
48,00:02:41.184,00:02:42.221,"all summer,",S01,E01,Tourist Trapped
49,00:02:42.222,00:02:45.180,until one fateful day...,S01,E01,Tourist Trapped
50,00:02:46.209,00:02:49.191,he's looking at it. he's looking at it!,S01,E01,Tourist Trapped
51,00:02:49.192,00:02:51.208,uh...,S01,E01,Tourist Trapped
52,00:02:51.209,00:02:53.162,"""do you like me?",S01,E01,Tourist Trapped
53,00:02:53.163,00:02:55.170,"""yes. definitely.",S01,E01,Tourist Trapped
54,00:02:55.171,00:02:56.209,"absolutely""?",S01,E01,Tourist Trapped
55,00:02:57.209,00:02:59.196,"- i rigged it! - mabel,",S01,E01,Tourist Trapped
56,00:02:59.199,00:03:02.158,"i know you're going through your whole ""boy crazy"" phase,",S01,E01,Tourist Trapped
57,00:03:02.159,00:03:06.229,"- but i think you're kind of overdoing it with the ""crazy"" part. - what?!",S01,E01,Tourist Trapped
58,00:03:06.230,00:03:08.229,"come on, dipper!",S01,E01,Tourist Trapped
59,00:03:08.230,00:03:10.233,this is our first summer away from home.,S01,E01,Tourist Trapped
60,00:03:10.234,00:03:14.183,it's my big chance to have an epic summer romance.,S01,E01,Tourist Trapped
61,00:03:14.184,00:03:17.166,"yeah, but do you need to flirt with every guy you meet?",S01,E01,Tourist Trapped
62,00:03:17.167,00:03:21.237,"my name is mabel, but you can call me the girl of your dreams.",S01,E01,Tourist Trapped
63,00:03:21.238,00:03:24.237,i'm joking! ha ha ha ha!,S01,E01,Tourist Trapped
64,00:03:24.238,00:03:27.162,"oh, my gosh, you like turtles?",S01,E01,Tourist Trapped
65,00:03:27.163,00:03:31.203,i like turtles too. what is happening here?,S01,E01,Tourist Trapped
66,00:03:31.204,00:03:33.166,"come one, come all,",S01,E01,Tourist Trapped
67,00:03:33.167,00:03:36.162,to the mattress prince's kingdom of savings!,S01,E01,Tourist Trapped
68,00:03:36.163,00:03:38.221,- take me with you. - aaah!,S01,E01,Tourist Trapped
69,00:03:38.224,00:03:40.216,"mock all you want, brother,",S01,E01,Tourist Trapped
70,00:03:40.217,00:03:42.220,but i got a good feeling about this summer.,S01,E01,Tourist Trapped
71,00:03:42.221,00:03:45.162,i wouldn't be surprised if the man of my dreams,S01,E01,Tourist Trapped
72,00:03:45.163,00:03:47.142,walked through that door right now.,S01,E01,Tourist Trapped
73,00:03:49.234,00:03:52.145,oh! oh! not good. ow.,S01,E01,Tourist Trapped
74,00:03:52.146,00:03:54.171,"- oh, why?! - ha ha ha!",S01,E01,Tourist Trapped
75,00:03:54.172,00:03:55.230,"all right, look alive, people.",S01,E01,Tourist Trapped
76,00:03:55.231,00:03:58.345,i need someone to go hammer up these signs in the spooky part of the forest.,S01,E01,Tourist Trapped
77,00:03:58.410,00:04:00.410,"- not it! - not it! - uh, also not it.",S01,E01,Tourist Trapped
78,00:04:00.411,00:04:01.464,"nobody asked you, soos.",S01,E01,Tourist Trapped
79,00:04:01.465,00:04:04.443,"i know, and i'm comfortable with that.",S01,E01,Tourist Trapped
80,00:04:04.444,00:04:06.480,wendy! i need you to put up this sign!,S01,E01,Tourist Trapped
81,00:04:06.481,00:04:11.472,"i would, but i... uhh... can't... uhh... reach it.",S01,E01,Tourist Trapped
82,00:04:11.473,00:04:13.463,i'd fire all of you if i could.,S01,E01,Tourist Trapped
83,00:04:13.464,00:04:16.467,"all right, let's make it eeny-meeny-miney...",S01,E01,Tourist Trapped
84,00:04:16.468,00:04:18.460,- you. - oh! what?,S01,E01,Tourist Trapped
85,00:04:18.463,00:04:21.459,"grunkle stan, whenever i'm in those woods i feel like i'm being watched.",S01,E01,Tourist Trapped
86,00:04:21.460,00:04:23.435,"- ahh, this again. - i'm telling you,",S01,E01,Tourist Trapped
87,00:04:23.436,00:04:25.421,something weird is going on in this town.,S01,E01,Tourist Trapped
88,00:04:25.422,00:04:27.452,"just today my mosquito bites spelled out ""beware.""",S01,E01,Tourist Trapped
89,00:04:28.473,00:04:30.414,"that says ""bewarb.""",S01,E01,Tourist Trapped
90,00:04:32.410,00:04:35.409,"look, kid, the whole ""monsters in the forest"" thing is just local legend",S01,E01,Tourist Trapped
91,00:04:35.410,00:04:38.427,drummed up by guys like me to sell merch to guys like that.,S01,E01,Tourist Trapped
92,00:04:40.444,00:04:42.435,so quit being so paranoid!,S01,E01,Tourist Trapped
93,00:04:48.481,00:04:50.493,ugh. grunkle stan.,S01,E01,Tourist Trapped
94,00:04:50.494,00:04:53.423,nobody ever believes anything i say.,S01,E01,Tourist Trapped
95,00:04:54.489,00:04:56.485,huh?,S01,E01,Tourist Trapped
96,00:05:10.452,00:05:12.477,baaa!,S01,E01,Tourist Trapped
97,00:05:13.485,00:05:15.410,what the...?,S01,E01,Tourist Trapped
98,00:05:30.439,00:05:33.480,"""it's hard to believe it's been six years since i began studying",S01,E01,Tourist Trapped
99,00:05:33.481,00:05:37.473,"the strange and wondrous secrets of gravity falls, oregon.""",S01,E01,Tourist Trapped
100,00:05:41.494,00:05:43.488,what is all this?,S01,E01,Tourist Trapped
101,00:05:43.489,00:05:46.463,"""unfortunately, my suspicions have been confirmed.",S01,E01,Tourist Trapped
102,00:05:46.464,00:05:47.471,"""i'm being watched.",S01,E01,Tourist Trapped
103,00:05:47.472,00:05:49.473,"""i must hide this book before he finds it.",S01,E01,Tourist Trapped
104,00:05:49.474,00:05:53.431,"remember, in gravity falls, there is no one you can trust.""",S01,E01,Tourist Trapped
105,00:05:54.439,00:05:55.498,no one you can trust...,S01,E01,Tourist Trapped
106,00:05:55.499,00:05:57.452,- hello! - aaah!,S01,E01,Tourist Trapped
107,00:05:57.455,00:05:59.459,whatcha readin'? some nerd thing?,S01,E01,Tourist Trapped
108,00:05:59.460,00:06:01.451,uh... uh... it's nothing.,S01,E01,Tourist Trapped
109,00:06:01.452,00:06:03.430,"""uh-uh... it's nothing.""",S01,E01,Tourist Trapped
110,00:06:03.431,00:06:06.434,what? are you actually not gonna show me?,S01,E01,Tourist Trapped
111,00:06:06.435,00:06:07.434,uh...,S01,E01,Tourist Trapped
112,00:06:07.435,00:06:09.444,let's go somewhere private.,S01,E01,Tourist Trapped
113,00:06:12.423,00:06:13.459,it's amazing!,S01,E01,Tourist Trapped
114,00:06:13.460,00:06:15.472,"grunkle stan said i was being paranoid,",S01,E01,Tourist Trapped
115,00:06:15.473,00:06:19.463,"but according to this book, gravity falls has this secret dark side.",S01,E01,Tourist Trapped
116,00:06:19.464,00:06:21.488,whoa! shut up!,S01,E01,Tourist Trapped
117,00:06:21.489,00:06:23.493,"after a certain point,",S01,E01,Tourist Trapped
118,00:06:23.494,00:06:25.472,"the pages just stop,",S01,E01,Tourist Trapped
119,00:06:25.473,00:06:28.476,like the guy who was writing it mysteriously disappeared.,S01,E01,Tourist Trapped
120,00:06:28.477,00:06:30.422,who's that?,S01,E01,Tourist Trapped
121,00:06:30.423,00:06:32.447,"well, time to spill the beans.",S01,E01,Tourist Trapped
122,00:06:32.448,00:06:34.467,broop. beans.,S01,E01,Tourist Trapped
123,00:06:34.468,00:06:36.497,this girl's got a date. whoo whoo!,S01,E01,Tourist Trapped
124,00:06:36.498,00:06:38.494,- ha ha ha! - let me get this straight.,S01,E01,Tourist Trapped
125,00:06:38.497,00:06:42.426,in the half hour i was gone you already found a boyfriend?,S01,E01,Tourist Trapped
126,00:06:42.427,00:06:43.464,what can i say?,S01,E01,Tourist Trapped
127,00:06:43.465,00:06:46.488,i guess i'm just irresistible!,S01,E01,Tourist Trapped
128,00:06:46.489,00:06:48.405,oh!,S01,E01,Tourist Trapped
129,00:06:48.406,00:06:49.435,coming!,S01,E01,Tourist Trapped
130,00:06:51.485,00:06:53.481,"- what you readin' there, slick? - oh!",S01,E01,Tourist Trapped
131,00:06:53.484,00:06:56.413,"i was just catchin' up on, uh...",S01,E01,Tourist Trapped
132,00:06:56.414,00:06:59.468,"- ""gold chains for old men magazine""? - that's a good issue.",S01,E01,Tourist Trapped
133,00:06:59.471,00:07:01.463,"hey, family!",S01,E01,Tourist Trapped
134,00:07:01.464,00:07:04.477,say hello to my new boyfriend!,S01,E01,Tourist Trapped
135,00:07:05.502,00:07:07.422,'sup?,S01,E01,Tourist Trapped
136,00:07:07.423,00:07:08.485,- hey. - how's it hangin'.,S01,E01,Tourist Trapped
137,00:07:08.488,00:07:11.480,we met at the cemetery. he's really deep.,S01,E01,Tourist Trapped
138,00:07:11.481,00:07:13.480,ooh! little muscle there.,S01,E01,Tourist Trapped
139,00:07:13.481,00:07:16.422,what... what a surprise.,S01,E01,Tourist Trapped
140,00:07:16.423,00:07:17.489,so what's your name?,S01,E01,Tourist Trapped
141,00:07:17.490,00:07:21.476,uh... normal... man!,S01,E01,Tourist Trapped
142,00:07:21.477,00:07:22.485,"he means ""norman.""",S01,E01,Tourist Trapped
143,00:07:22.486,00:07:24.481,"are you bleeding, norman?",S01,E01,Tourist Trapped
144,00:07:26.410,00:07:27.476,it's jam.,S01,E01,Tourist Trapped
145,00:07:27.477,00:07:30.413,oh! i love jam!,S01,E01,Tourist Trapped
146,00:07:30.414,00:07:32.405,look at this!,S01,E01,Tourist Trapped
147,00:07:32.406,00:07:36.409,"so, you wanna go hold hands or... whatever?",S01,E01,Tourist Trapped
148,00:07:36.410,00:07:38.493,"oh! oh, my goodness.",S01,E01,Tourist Trapped
149,00:07:38.494,00:07:39.502,don't wait up!,S01,E01,Tourist Trapped
150,00:07:44.464,00:07:46.498,there was something about norman that wasn't right.,S01,E01,Tourist Trapped
151,00:07:46.499,00:07:49.434,i decided to consult the journal...,S01,E01,Tourist Trapped
152,00:07:49.435,00:07:51.443,"""known for their pale skin and bad attitudes,",S01,E01,Tourist Trapped
153,00:07:51.444,00:07:54.472,"""these creatures are often mistaken for... teenagers?!",S01,E01,Tourist Trapped
154,00:07:54.473,00:07:57.418,"""beware gravity falls's nefarious...",S01,E01,Tourist Trapped
155,00:07:59.418,00:08:00.426,'sup?,S01,E01,Tourist Trapped
156,00:08:00.427,00:08:03.430,"zombie!""",S01,E01,Tourist Trapped
157,00:08:03.431,00:08:06.501,"did somebody say ""cromby""? what is that, ""cromby""?",S01,E01,Tourist Trapped
158,00:08:06.502,00:08:09.494,it's not even a word. you're losin' your mind.,S01,E01,Tourist Trapped
159,00:08:13.473,00:08:15.480,i like you.,S01,E01,Tourist Trapped
160,00:08:15.481,00:08:17.431,"oh, no! mabel!",S01,E01,Tourist Trapped
161,00:08:19.414,00:08:22.477,"- no! no, mabel! watch out! - uhh!",S01,E01,Tourist Trapped
162,00:08:22.480,00:08:23.494,aaaah!,S01,E01,Tourist Trapped
163,00:08:25.410,00:08:26.426,uhh.,S01,E01,Tourist Trapped
164,00:08:26.427,00:08:27.651,daisies?,S01,E01,Tourist Trapped
165,00:08:27.720,00:08:29.748,you scallywag!,S01,E01,Tourist Trapped
166,00:08:29.778,00:08:32.102,"is my sister really dating a zombie,",S01,E01,Tourist Trapped
167,00:08:32.354,00:08:33.404,or am i just going nuts?,S01,E01,Tourist Trapped
168,00:08:33.405,00:08:35.382,"it's a dilemma, to be sure.",S01,E01,Tourist Trapped
169,00:08:35.383,00:08:38.557,i couldn't help but overhear you talking aloud to yourself in this empty room.,S01,E01,Tourist Trapped
170,00:08:39.029,00:08:40.813,"soos, you've seen mabel's boyfriend.",S01,E01,Tourist Trapped
171,00:08:40.828,00:08:42.776,"he's gotta be a zombie, right?",S01,E01,Tourist Trapped
172,00:08:42.777,00:08:44.830,hmm. how many brains did you see the guy eat?,S01,E01,Tourist Trapped
173,00:08:44.831,00:08:47.818,"- zero. - look, dude, i believe you.",S01,E01,Tourist Trapped
174,00:08:47.821,00:08:49.834,i'm always noticing weird stuff in this town.,S01,E01,Tourist Trapped
175,00:08:49.835,00:08:52.781,like the mailman? pretty sure that dude's a werewolf.,S01,E01,Tourist Trapped
176,00:08:57.827,00:08:59.821,but you gotta have evidence.,S01,E01,Tourist Trapped
177,00:08:59.822,00:09:02.755,otherwise people are gonna think you're a major league cuckoo clock.,S01,E01,Tourist Trapped
178,00:09:02.756,00:09:04.826,"as always, soos, you're right.",S01,E01,Tourist Trapped
179,00:09:04.827,00:09:07.826,my wisdom is both a blessing and a curse.,S01,E01,Tourist Trapped
180,00:09:07.827,00:09:10.759,soos! the portable toilets are clogged again!,S01,E01,Tourist Trapped
181,00:09:10.760,00:09:12.797,i am needed elsewhere.,S01,E01,Tourist Trapped
182,00:09:15.772,00:09:17.754,my sister could be in trouble.,S01,E01,Tourist Trapped
183,00:09:17.755,00:09:19.739,it was time to get some evidence.,S01,E01,Tourist Trapped
184,00:09:26.785,00:09:27.831,aaauuggh!,S01,E01,Tourist Trapped
185,00:09:38.743,00:09:39.760,aaah!,S01,E01,Tourist Trapped
186,00:09:40.764,00:09:41.831,aauggh!,S01,E01,Tourist Trapped
187,00:09:43.801,00:09:46.764,i'd seen enough.,S01,E01,Tourist Trapped
188,00:09:48.743,00:09:50.784,"mabel, we've gotta talk about norman.",S01,E01,Tourist Trapped
189,00:09:50.785,00:09:54.764,isn't he the best? check out this giant smooch mark he gave me!,S01,E01,Tourist Trapped
190,00:09:55.764,00:09:57.751,- aaah! - ha ha!,S01,E01,Tourist Trapped
191,00:09:57.754,00:10:01.739,gullible. it was just an accident with the leaf blower.,S01,E01,Tourist Trapped
192,00:10:02.818,00:10:05.800,kissing practice!,S01,E01,Tourist Trapped
193,00:10:05.801,00:10:07.826,mmm... mmm...,S01,E01,Tourist Trapped
194,00:10:07.827,00:10:09.800,aah! turn it off!,S01,E01,Tourist Trapped
195,00:10:09.801,00:10:11.771,turn it off!,S01,E01,Tourist Trapped
196,00:10:11.772,00:10:13.835,"- that was fun. - no! mabel, listen.",S01,E01,Tourist Trapped
197,00:10:13.838,00:10:19.755,i'm trying to tell you that norman is not what he seems!,S01,E01,Tourist Trapped
198,00:10:19.756,00:10:22.759,you think he might be a vampire?,S01,E01,Tourist Trapped
199,00:10:22.760,00:10:23.835,that would be so awesome!,S01,E01,Tourist Trapped
200,00:10:23.836,00:10:25.755,"guess again, sister.",S01,E01,Tourist Trapped
201,00:10:25.756,00:10:26.827,- sha-bam! - aaah!,S01,E01,Tourist Trapped
202,00:10:26.830,00:10:28.742,"oh, wait. i'm... i'm sorry.",S01,E01,Tourist Trapped
203,00:10:28.743,00:10:30.768,- sha-bam! - a zombie?,S01,E01,Tourist Trapped
204,00:10:30.769,00:10:31.804,"that is not funny, dipper.",S01,E01,Tourist Trapped
205,00:10:31.805,00:10:32.835,i'm not joking!,S01,E01,Tourist Trapped
206,00:10:32.836,00:10:35.830,"it all adds up: the bleeding, the limp...",S01,E01,Tourist Trapped
207,00:10:35.831,00:10:38.788,he never blinks! have you noticed that?,S01,E01,Tourist Trapped
208,00:10:38.789,00:10:41.742,maybe he's blinking when you're blinking.,S01,E01,Tourist Trapped
209,00:10:41.743,00:10:43.827,"mabel, remember what the book said about gravity falls?",S01,E01,Tourist Trapped
210,00:10:43.828,00:10:45.780,"""trust no one""!",S01,E01,Tourist Trapped
211,00:10:45.781,00:10:48.821,"what about me, huh? why can't you trust me?",S01,E01,Tourist Trapped
212,00:10:48.822,00:10:49.831,- beep-bop! - mabel!,S01,E01,Tourist Trapped
213,00:10:49.834,00:10:51.821,he's gonna eat your brain!,S01,E01,Tourist Trapped
214,00:10:51.822,00:10:53.776,"dipper, listen to me.",S01,E01,Tourist Trapped
215,00:10:53.777,00:10:55.835,"norman and i are going on a date at five o'clock,",S01,E01,Tourist Trapped
216,00:10:55.836,00:11:00.738,"and i'm gonna be adorable, and he's gonna be dreamy.",S01,E01,Tourist Trapped
217,00:11:00.739,00:11:01.818,- wait! but... but... but... - and i'm not gonna let you ruin it,S01,E01,Tourist Trapped
218,00:11:01.821,00:11:04.789,with one of your crazy conspiracies!,S01,E01,Tourist Trapped
219,00:11:06.747,00:11:08.743,ohh. what am i gonna do?,S01,E01,Tourist Trapped
220,00:11:10.801,00:11:11.835,coming!,S01,E01,Tourist Trapped
221,00:11:12.835,00:11:14.806,"hey, norman. how do i look?",S01,E01,Tourist Trapped
222,00:11:16.760,00:11:17.809,shiny!,S01,E01,Tourist Trapped
223,00:11:17.810,00:11:20.747,you always know what to say!,S01,E01,Tourist Trapped
224,00:11:23.806,00:11:24.826,soos is right.,S01,E01,Tourist Trapped
225,00:11:24.827,00:11:27.788,i don't have any real evidence.,S01,E01,Tourist Trapped
226,00:11:27.789,00:11:30.834,"i guess i can be kind of paranoid sometimes, and...",S01,E01,Tourist Trapped
227,00:11:30.835,00:11:32.739,wait! what?!,S01,E01,Tourist Trapped
228,00:11:35.760,00:11:37.784,"aaah! i was right! oh, my god!",S01,E01,Tourist Trapped
229,00:11:37.785,00:11:40.805,"oh, my god! grunkle stan! grunkle stan! grunkle stan!",S01,E01,Tourist Trapped
230,00:11:40.806,00:11:43.780,"and here we have ""rock that looks like a face"" rock...",S01,E01,Tourist Trapped
231,00:11:43.781,00:11:45.771,the rock that looks like a face.,S01,E01,Tourist Trapped
232,00:11:45.772,00:11:47.831,"- does it look like a rock? - no, it looks like a face.",S01,E01,Tourist Trapped
233,00:11:47.834,00:11:50.793,- is it a face? - it's a rock that looks like a face!,S01,E01,Tourist Trapped
234,00:11:50.796,00:11:52.809,over here! grunkle stan!,S01,E01,Tourist Trapped
235,00:11:52.810,00:11:55.738,"for the fifth time, it's not an actual face!",S01,E01,Tourist Trapped
236,00:11:55.739,00:11:57.743,grrrr!!!,S01,E01,Tourist Trapped
237,00:11:58.768,00:12:01.738,"finally, we're alone.",S01,E01,Tourist Trapped
238,00:12:01.739,00:12:04.742,yes... alone.,S01,E01,Tourist Trapped
239,00:12:04.743,00:12:06.738,stan! stan!,S01,E01,Tourist Trapped
240,00:12:06.739,00:12:07.809,wendy! wendy!,S01,E01,Tourist Trapped
241,00:12:07.810,00:12:12.792,i need to borrow the golf cart so i can save my sister from a zombie!,S01,E01,Tourist Trapped
242,00:12:12.793,00:12:16.797,try not to hit any pedestrians.,S01,E01,Tourist Trapped
243,00:12:19.751,00:12:20.818,"dude, it's me, soos.",S01,E01,Tourist Trapped
244,00:12:20.819,00:12:23.751,- this is for the zombies. - thanks.,S01,E01,Tourist Trapped
245,00:12:23.754,00:12:25.813,and this is in case you see a piñata.,S01,E01,Tourist Trapped
246,00:12:25.814,00:12:28.738,uh... thanks?,S01,E01,Tourist Trapped
247,00:12:28.739,00:12:30.751,better safe than sorry!,S01,E01,Tourist Trapped
248,00:12:31.760,00:12:32.817,"mable,",S01,E01,Tourist Trapped
249,00:12:32.818,00:12:35.742,"now that we've gotten to know each other,",S01,E01,Tourist Trapped
250,00:12:35.743,00:12:36.767,there's...,S01,E01,Tourist Trapped
251,00:12:36.768,00:12:39.788,there's something i should tell you.,S01,E01,Tourist Trapped
252,00:12:39.789,00:12:42.780,"oh, norman! you can tell me anything!",S01,E01,Tourist Trapped
253,00:12:42.781,00:12:44.796,"please be a vampire, please be a vampire.",S01,E01,Tourist Trapped
254,00:12:44.797,00:12:47.763,"all right, just... just don't freak out, okay?",S01,E01,Tourist Trapped
255,00:12:47.764,00:12:49.806,just... just keep an open mind. be cool.,S01,E01,Tourist Trapped
256,00:12:56.747,00:12:58.763,is this weird? is this too weird?,S01,E01,Tourist Trapped
257,00:12:58.764,00:12:59.831,you need to sit down?,S01,E01,Tourist Trapped
258,00:12:59.832,00:13:01.830,r-right. i'll explain.,S01,E01,Tourist Trapped
259,00:13:01.831,00:13:06.738,"so, we're gnomes, first off, get that one out of the way.",S01,E01,Tourist Trapped
260,00:13:06.739,00:13:07.818,"- uh... - i'm jeff,",S01,E01,Tourist Trapped
261,00:13:07.821,00:13:10.780,"and here we have carson, steve,",S01,E01,Tourist Trapped
262,00:13:10.781,00:13:12.546,jason and...,S01,E01,Tourist Trapped
263,00:13:12.547,00:13:13.835,"i'm sorry, i always forget your name.",S01,E01,Tourist Trapped
264,00:13:13.836,00:13:15.784,shmebulock.,S01,E01,Tourist Trapped
265,00:13:15.785,00:13:18.742,shmebulock. yes!,S01,E01,Tourist Trapped
266,00:13:18.743,00:13:19.835,"anyways, long story short,",S01,E01,Tourist Trapped
267,00:13:19.836,00:13:23.817,"us gnomes have been lookin' for a new queen. right, guys?",S01,E01,Tourist Trapped
268,00:13:23.818,00:13:26.817,queen! queen!,S01,E01,Tourist Trapped
269,00:13:26.818,00:13:28.818,heh! so whaddya say?,S01,E01,Tourist Trapped
270,00:13:32.764,00:13:34.826,will you join us in holy matri-gnome-y?,S01,E01,Tourist Trapped
271,00:13:34.827,00:13:36.805,matri... matri... mony?,S01,E01,Tourist Trapped
272,00:13:36.806,00:13:38.784,bleahh! can't talk today.,S01,E01,Tourist Trapped
273,00:13:38.785,00:13:41.742,look...,S01,E01,Tourist Trapped
274,00:13:41.743,00:13:43.826,"i'm sorry, guys, you're really sweet,",S01,E01,Tourist Trapped
275,00:13:43.827,00:13:47.759,but i'm a girl and you're gnomes,S01,E01,Tourist Trapped
276,00:13:47.760,00:13:49.780,"and it's like, ""what?!""",S01,E01,Tourist Trapped
277,00:13:49.781,00:13:51.800,yikes.,S01,E01,Tourist Trapped
278,00:13:51.801,00:13:54.538,"we understand. we'll never forget you, mabel.",S01,E01,Tourist Trapped
279,00:13:55.994,00:13:57.916,- because we're gonna kidnap you. - huh?!,S01,E01,Tourist Trapped
280,00:14:00.822,00:14:04.805,"don't worry, mabel! i'll save you from that zombie!",S01,E01,Tourist Trapped
281,00:14:04.806,00:14:06.776,help!!!!,S01,E01,Tourist Trapped
282,00:14:06.777,00:14:08.751,hold on!,S01,E01,Tourist Trapped
283,00:14:11.777,00:14:14.830,"the more you struggle, the more awkward this is gonna be for everybody.",S01,E01,Tourist Trapped
284,00:14:14.831,00:14:17.809,"just... ha ha!... okay, just get her arm there, steve.",S01,E01,Tourist Trapped
285,00:14:17.810,00:14:19.831,aah! let go of me!,S01,E01,Tourist Trapped
286,00:14:22.756,00:14:23.756,uhh...,S01,E01,Tourist Trapped
287,00:14:25.768,00:14:27.826,what the heck is goin' on here?!,S01,E01,Tourist Trapped
288,00:14:27.827,00:14:29.788,aah!,S01,E01,Tourist Trapped
289,00:14:29.789,00:14:32.759,dipper! norman turned out to be a bunch of gnomes!,S01,E01,Tourist Trapped
290,00:14:32.760,00:14:33.829,and they're total jerks!,S01,E01,Tourist Trapped
291,00:14:33.830,00:14:34.827,uhh! hair! hair!,S01,E01,Tourist Trapped
292,00:14:34.828,00:14:38.809,gnomes? huh. i was way off.,S01,E01,Tourist Trapped
293,00:14:38.810,00:14:41.788,"""gnomes. little men of the gravity falls forest.",S01,E01,Tourist Trapped
294,00:14:41.789,00:14:43.750,"""weaknesses:"" unknown.",S01,E01,Tourist Trapped
295,00:14:43.751,00:14:45.738,"oh, come on!",S01,E01,Tourist Trapped
296,00:14:45.739,00:14:47.746,hey! hey! let go of my sister!,S01,E01,Tourist Trapped
297,00:14:47.747,00:14:50.738,"oh! ha ha. hey there! um, ya know,",S01,E01,Tourist Trapped
298,00:14:50.739,00:14:53.038,"this is all really just a big misunderstanding, ya see?",S01,E01,Tourist Trapped
299,00:14:53.092,00:14:54.740,your sister's not in danger...,S01,E01,Tourist Trapped
300,00:14:54.788,00:14:56.756,she's just marrying all one thousand of us,S01,E01,Tourist Trapped
301,00:14:56.757,00:14:58.826,and become our gnome queen for all eternity.,S01,E01,Tourist Trapped
302,00:14:58.827,00:15:00.746,"isn't that right, honey?",S01,E01,Tourist Trapped
303,00:15:00.747,00:15:02.805,you guys are butt-faces!,S01,E01,Tourist Trapped
